UID_caps;caps_QC01A;caps_QC02A;caps_QC02;caps_QC03;caps_QC04A;caps_QC04B;caps_QC04C;caps_QC04D;caps_QC04E;caps_QC05_1;caps_QC05_2;caps_QC05_DO_QC05_1;caps_QC05_DO_QC05_2;caps_QC06A;caps_QC06B;caps_QC06C;caps_QC06D;caps_QC07;caps_QC08_1;caps_QC08_2;caps_QC08_3;caps_QC08_4;caps_QC08_5;caps_QC09A;caps_QC09B;caps_QC09C;caps_QC09D;caps_QC09E;caps_QC08B_1;caps_QC08B_2;caps_QC08B_3;caps_QC08B_4;caps_QC08B_5;caps_QC09A_2;caps_QC09B_2;caps_QC09C_2;caps_QC09D_2;caps_QC09E_2;caps_ccl_q01;caps_ccl_q02;caps_ccl_q03;caps_ccl_q04;caps_ccl_q05_1;caps_ccl_q05_2;caps_ccl_q05_3;caps_ccl_q05_4;caps_ccl_q05_5;caps_ccl_q05_6;caps_ALEA_C;caps_SliderOrder;caps_Slider_S1;caps_Slider_S2;caps_Slider_S3;caps_Slider_S4;caps_Slider_S5;caps_Choix_QC09A;caps_Choix_QC09B;caps_Choix_QC09C;caps_Choix_QC09D;caps_Choix_QC09E;caps_Choix_QC09A_2;caps_Choix_QC09B_2;caps_Choix_QC09C_2;caps_Choix_QC09D_2;caps_Choix_QC09E_2;caps_Device;caps_Version;caps_QC04_DO_QC04E;caps_QC04_DO_QC04D;caps_QC04_DO_QC04C;caps_QC04_DO_QC04B;caps_QC04_DO_QC04A;caps_QC04_DO_transition;caps_QC06_DO_transition;caps_caps_QC06_DO_QC06D;caps_QC06_DO_QC06C;caps_QC06_DO_QC06B;caps_QC06_DO_QC06A;cal_AGE;cal_DIPL;cal_SEXE;cal_TUU;cal_ZEAT;PDSPLT_INIT;POIDS_INIT;panel;POIDS_caps;PDSPLT_caps;eayy_a3_rec;eayy_a4_rev;eayy_a5;eayy_a5c_rec;eayy_b1_rev;eayy_b10a;eayy_b11;eayy_b11cjt;eayy_b18_rec;eayy_b18c;eayy_b18ccjt;eayy_b18cjt_rec;eayy_b1b;eayy_b1bcjt;eayy_b1cjt_rev;eayy_b2_11a_rec;eayy_b2_11acjt_rec;eayy_b25_rec;eayy_b25cjt_rec;eayy_b5;eayy_b5a_rec;eayy_b5acjt;eayy_b5d_rec;eayy_b6a_12a_rec;eayy_b6b_12b_rec;eayy_b7b_rec;eayy_b8_rec;eayy_b8cjt_rec;eayy_c1_rec;eayy_c1jeu;eayy_c8;eayy_c8a_rec;eayy_c8b_rec;eayy_d1;eayy_d2_rev;eayy_d3;eayy_d5a;eayy_d6;eayy_d7_rev_som;eayy_e1a;eayy_e1b;eayy_e1c;eayy_e1d;eayy_e1e;eayy_e1f1;eayy_e1f2;eayy_e1g;eayy_e1h;eayy_e1i;eayy_e1j;eayy_e2a_rec2;eayy_e2auc2;eayy_e2auc_source2;eayy_e3_som;eayy_e4;eayy_e5;eayy_e6;eayy_f1_rev;eayy_f1a1;eayy_f3_rev;eayy_f4;eayy_f6a;eayy_f7_som;eayy_f7ter;eayy_f9;eayy_g1_1;eayy_g1_2;eayy_g3a;eayy_g3b;eayy_g3c;eayy_g3d;eayy_g5;eayy_g6_1;eayy_g6_2;eayy_g6_3;eayy_g6_4;eayy_g7;eayy_g8a;eayy_g8b;eayy_g8c;eayy_h_c11;eayy_h_teo1;eayy_h5_rev;eayy_i1;eayy_i2;eayy_i8;eayy_i11_rev_22;eayy_i11a_22;eayy_i12_rev_22;eayy_i12a_22;eayy_j1;eayy_k1_rec;eayy_k2_rec;eayy_k3;eayy_pcs29_2020;eayy_pcs18_2020;eayy_pcs6_2020;eayy_pcs6cjt_2020;eayy_typmen5;eayy_vague
1050;1;1;3;3;7;3;6;7;5;4;3;1;2;2;2;6;5;1;4;3;4;1;6;2;2;2;2;8;4;3;4;1;6;2;2;2;2;8;4;4;3;9999;2;2;4;4;3;3;1;S3|S2|S5|S4|S1;6;3;4;1;4;2;2;2;2;8;2;2;2;2;8;Mobile;1;3;5;2;4;6;1;1;2;3;5;4;5;2;1;0;5;0,0454706664698901;0,0208078415399103;1;0,0193745203627443;0,0452490941505262;3;4;1;7;5;6666;1;6666;10;4;4;10;2;1;5;6;2;2;2;6666;2;2;6666;10;6666;1;6666;6666;2;1;1;2;1;1;6666;1;5;1;2;2;2;2;1;1;2;2;2;2;2;2;8;4;1;3;2;4;3;5;3;4;2;2;0;3;6;2;4;4;2;2;1;1;2;2;1;1;3;3;2;4;2;1;7;3;2;7;2;6666;2;6666;2;5;6;2;69;69;6;5;3;2025
1373;2;1;9999;4;9;6;9;10;6;2;2;1;2;6;7;9999;10;2;8;5;8;7;7;2;2;2;2;8;8;5;8;7;7;2;2;2;2;8;7;4;3;9999;3;5;2;3;3;2;2;S5|S4|S3|S2|S1;7;7;8;5;8;2;2;2;2;8;2;2;2;2;8;Mobile;1;4;6;5;2;3;1;1;4;3;2;5;5;3;1;4;2;0,137803772198906;0,106087103410721;1;0,122032820983942;0,162201140736826;1;4;1;7;5;6666;1;1;6;2;2;6;2;2;5;4;6;2;2;6666;1;6666;6666;2;6666;1;4;6666;2;1;1;3;1;5;7;1;5;1;0;2;2;2;1;2;2;2;2;2;2;2;11;7;1;1;2;4;1;9;5;2;3;4;1;1;7;2;1;3;1;2;1;2;2;2;1;2;4;3;2;4;1;1;6;2;2;4;1;8;1;2;3;5;9;1;62;61;6;5;3;2025
1309;2;2;6666;3;5;5;5;5;5;4;4;2;1;5;5;5;5;1;5;5;5;5;5;2;2;1;1;7;5;5;5;5;5;2;2;1;1;7;7;4;4;9999;4;4;2;2;2;2;2;S5|S4|S3|S2|S1;5;5;5;5;5;2;2;1;1;7;2;2;1;1;7;Mobile;1;4;5;6;2;3;1;1;4;2;3;5;5;3;2;0;7;0,1894678918131;0,164125203841557;1;0,176394450661993;0,222902861950346;1;4;1;7;1;6666;6666;1;7;2;4;10;1;2;5;4;1;2;6666;1;1;6666;2;3;6666;7;1;6666;2;1;2;6666;6666;1;6666;1;5;1;0;1;2;2;1;2;2;2;2;2;1;2;9;5;1;3;2;3;3;7;3;1;3;6;0;3;5;1;1;2;2;1;1;2;1;2;2;2;3;2;3;4;2;2;6;4;2;5;1;6;1;1;3;4;5;3;55;55;5;1;3;2025
1565;2;1;1;3;8;5;8;10;8;4;3;2;1;0;10;10;10;2;10;8;5;8;5;2;2;1;2;8;10;8;5;8;10;2;2;1;2;8;10;4;3;1;4;4;1;1;4;1;1;S1|S4|S2|S5|S3;10;5;5;8;8;2;2;1;2;8;2;2;1;2;8;Mobile;1;2;6;3;4;5;1;1;2;5;3;4;4;2;2;1;5;0,0378525921813969;0,017684173875125;1;0,0170478796035229;0,0402624493906216;1;4;1;7;1;6666;6666;6666;10;4;4;10;1;1;1;4;4;2;1;1;2;1;3;3;6666;6;3;4;3;1;1;3;2;1;6666;1;3;1;0;1;2;2;2;2;2;2;2;2;2;2;12;8;1;4;2;5;3;7;2;5;3;2;0;3;5;2;4;2;2;2;9999;1;2;2;1;2;5;1;4;3;1;2;6;3;3;5;1;7;1;2;2;2;4;3;54;54;5;3;4;2025
1560;2;1;1;3;8;2;5;5;1;5;4;2;1;8;8;8;2;2;6;8;2;6;1;2;2;1;2;9;6;8;2;6;1;2;2;1;2;9;9;4;4;9999;4;3;3;3;3;5;1;S1|S3|S2|S5|S4;6;2;8;1;6;2;2;1;2;9;2;2;1;2;9;Mobile;1;5;6;2;3;4;1;1;4;5;3;2;3;3;1;0;7;0,429793136890585;0,35080101381494;1;0,424673367946862;0,564475315464946;1;3;1;5;1;6666;6666;6666;5;1;4;10;1;1;1;4;4;2;2;1;1;2;4;2;6666;1;1;1;4;3;1;2;3;2;6666;1;4;1;0;1;2;2;2;2;1;2;2;2;2;2;11;6;1;3;2;4;9999;8;4;4;3;4;0;3;4;2;2;2;1;1;2;2;2;2;1;2;2;3;2;2;2;2;6;3;2;7;1;2;1;1;3;7;9;4;69;69;6;4;4;2025
1421;2;2;6666;3;7;9;6;7;8;3;3;2;1;6;8;7;8;2;7;6;5;5;4;1;2;1;1;5;7;6;5;5;4;1;2;1;1;5;7;4;4;9999;3;3;2;3;3;2;2;S1|S2|S3|S4|S5;7;6;5;5;4;1;2;1;1;5;1;2;1;1;5;Mobile;1;6;4;2;5;3;1;1;2;4;3;5;2;1;1;8;1;0,0827121348651535;0,0752767841162641;1;0,100219494594264;0,126105019286605;1;1;3;6666;1;6666;6666;6666;11;5;6666;6666;1;6666;6666;4;6666;2;6666;1;1;6666;4;6;6666;7;4;6666;1;1;2;6666;6666;2;6666;2;2;5;0;1;2;2;2;2;2;2;2;2;2;2;11;10;1;4;2;5;1;7;3;2;2;3;0;3;6;1;1;3;1;2;1;2;1;2;2;2;2;1;6666;4;1;2;6;2;2;5;1;7;1;2;2;4;5;2;37;36;3;6666;1;2025
1588;2;1;1;4;8;6;7;7;6;3;3;2;1;7;5;7;7;2;4;4;6;6;6;2;2;2;2;7;4;4;6;6;6;2;2;2;2;7;9;4;4;1;4;3;2;2;4;1;1;S2|S4|S1|S3|S5;6;4;6;4;6;2;2;2;2;7;2;2;2;2;7;6666;1;3;6;2;4;5;1;1;3;4;5;2;6;2;1;6;9;0,204133979511003;0,102938627861402;1;0,106615785909354;0,193655380597902;1;7;3;6666;5;6666;1;6666;10;4;6666;6666;2;6666;6666;4;6666;1;6666;6666;1;6666;6666;6;6666;7;4;6666;1;1;2;6666;6666;1;6666;1;4;2;0;2;2;2;1;2;2;2;2;2;2;2;10;9;1;1;2;3;3;6;4;5;3;4;0;3;7;3;9999;2;1;2;1;2;2;1;2;2;3;1;6666;4;1;2;6;2;3;5;1;7;1;4;3;8;8;1;37;36;3;6666;1;2025
215;2;1;3;4;9;8;8;8;6;4;2;1;2;2;7;5;9;2;10;5;5;8;4;2;9999;2;2;9;10;5;5;8;4;2;9999;2;2;9;8;3;3;9999;4;3;2;2;4;1;1;S1|S2|S3|S5|S4;10;5;5;4;8;2;6666;2;2;9;2;6666;2;2;9;6666;1;5;4;2;3;6;1;1;3;5;4;2;6;2;1;0;2;0,211398205718359;0,0926455905962012;1;0,091908271975239;0,200360444883808;1;4;1;7;5;6666;1;1;9;3;1;5;2;2;5;4;1;2;6666;6666;1;6666;6666;4;6666;8;3;6666;2;1;2;6666;6666;1;6666;1;5;1;3;2;2;2;1;2;2;2;2;2;2;2;10;6;1;3;2;4;3;9;5;1;3;4;4;2;6;3;1;1;2;1;5;2;2;2;1;2;2;3;1;4;1;2;3;3;2;4;1;7;1;2;2;6;8;1;47;47;4;6;3;2025
1110;2;1;2;4;5;5;5;5;5;3;3;1;2;5;6;6;6;1;10;9;6;9;7;2;2;2;2;8;10;9;6;9;7;2;2;2;2;8;5;3;2;1;3;3;3;3;4;4;2;S1|S3|S4|S2|S5;10;9;9;6;7;2;2;2;2;8;2;2;2;2;8;Mobile;1;2;3;6;5;4;1;1;5;4;2;3;5;3;1;6;9;0,219252076843146;0,187784263789091;1;0,217323791973079;0,25822282957174;1;3;1;4;5;6666;1;6666;6;2;5;11;2;1;1;2;2;2;2;6666;1;1;6666;6666;2;1;6666;6666;2;1;2;6666;6666;1;6666;1;3;2;0;2;1;2;2;2;2;2;2;2;2;2;12;9;1;1;2;3;1;6;4;2;3;3;0;2;6;2;1;2;2;2;1;2;2;1;2;2;3;3;2;4;2;2;7;3;2;5;1;4;1;3;3;6;4;3;52;51;5;4;3;2025
1626;2;1;1;1;5;5;10;10;0;2;1;2;1;5;7;7;7;2;8;8;8;1;5;2;2;2;2;8;8;8;8;1;5;2;2;2;2;8;5;4;4;9999;3;3;3;2;2;3;1;S5|S3|S1|S4|S2;8;5;8;1;8;2;2;2;2;8;2;2;2;2;8;Mobile;1;2;4;3;5;6;1;1;5;3;2;4;4;2;2;0;5;0,227482186723672;0,108915031874102;1;0,106506794310441;0,241928597871375;1;4;1;7;1;6666;6666;6666;10;4;4;10;1;1;1;4;4;2;2;1;1;1;5;3;6666;5;3;2;4;1;1;2;3;1;6666;1;5;1;9999;1;1;2;2;2;2;1;1;2;2;2;12;7;1;5;1;2;1;6;5;3;2;6;9999;2;6;2;1;2;2;2;2;2;2;2;1;2;2;2;2;3;1;3;6;3;3;2;1;3;1;2;2;2;2;2;54;54;5;4;5;2024
1142;2;1;1;3;8;8;7;8;7;4;2;1;2;4;4;8;5;1;5;4;4;3;6;2;2;2;2;8;5;4;4;3;6;2;2;2;2;8;3;3;3;9999;1;2;3;1;2;4;2;S3|S5|S2|S4|S1;6;4;5;3;4;2;2;2;2;8;2;2;2;2;8;6666;1;3;6;2;4;5;1;1;3;5;2;4;6;2;1;4;2;0,0218378329829012;0,0109193157416175;1;0,0112329618430373;0,0207015723428588;1;4;1;7;5;6666;1;1;6;2;3;8;2;2;5;2;2;1;2;6666;1;6666;6666;6666;10;1;6666;6666;1;1;1;1;1;1;6666;1;5;2;0;2;2;2;1;2;2;2;2;2;2;2;12;10;1;4;2;4;1;9;4;2;3;4;1;3;5;2;1;1;1;2;1;2;2;2;1;2;2;3;1;4;2;1;7;3;3;4;2;6666;2;6666;2;6;8;2;65;61;6;4;1;2025
771;2;2;6666;4;3;3;8;0;0;2;1;1;2;2;8;8;8;2;8;0;4;6;8;2;2;2;2;5;8;0;4;6;8;2;2;2;2;5;9;4;4;9999;3;4;1;1;3;1;2;S2|S4|S3|S1|S5;6;8;4;0;8;2;2;2;2;5;2;2;2;2;5;Mobile;1;3;6;5;4;2;1;1;4;3;5;2;4;3;1;6;5;0,710875115627511;0,5984792045563;1;0,727360359275533;0,885713440810734;1;1;3;6666;1;6666;6666;6666;5;1;6666;6666;1;6666;6666;4;6666;2;6666;2;1;6666;2;1;6666;11;1;6666;1;1;2;6666;6666;3;4;2;5;5;2;1;2;2;2;2;2;2;2;2;2;2;5;3;1;3;2;1;1;2;2;1;2;2;0;3;5;1;2;2;1;2;1;2;2;2;2;1;2;1;6666;4;1;1;7;3;4;5;2;6666;2;6666;3;6;6;2;68;66;6;6666;1;2025
